game_id,home,rest_home,rest_away,prev_margin_home,prev_margin_away,elo_home,elo_away,elo_diff,wind_mph,temp_f,precip_mm
2018_01_ATL_PHI,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_BUF_BAL,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_CHI_GB,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_CIN_IND,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_DAL_CAR,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_HOU_NE,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_JAX_NYG,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_KC_LAC,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_PIT_CLE,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_SEA_DEN,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_SF_MIN,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_TB_NO,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_TEN_MIA,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_WAS_ARI,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_LA_OAK,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_01_NYJ_DET,1,7,7,NA,NA,1500,1500,65,NA,NA,NA
2018_02_BAL_CIN,1,4,4,11,44,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_ARI_LA,1,6,7,20,-18,1511.8493246116866,1488.1506753883134,88.6986492233732,NA,NA,NA
2018_02_CAR_ATL,1,10,7,-6,8,1491.8493246116866,1508.1506753883134,48.698649223373195,NA,NA,NA
2018_02_CLE_NO,1,7,7,-8,0,1488.1506753883134,1488.1506753883134,65,NA,NA,NA
2018_02_DET_SF,1,7,6,-8,-31,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_HOU_TEN,1,7,7,-7,-7,1491.8493246116866,1491.8493246116866,65,NA,NA,NA
2018_02_IND_WAS,1,7,7,18,-11,1511.8493246116866,1488.1506753883134,88.6986492233732,NA,NA,NA
2018_02_KC_PIT,1,7,7,0,10,1511.8493246116866,1511.8493246116866,65,NA,NA,NA
2018_02_LAC_BUF,1,7,7,-44,-10,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_MIA_NYJ,1,6,7,31,7,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_MIN_GB,1,7,7,1,8,1508.1506753883134,1508.1506753883134,65,NA,NA,NA
2018_02_NE_JAX,1,7,7,5,7,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_NYG_DAL,1,7,7,-8,-5,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_OAK_DEN,1,7,6,3,-20,1508.1506753883134,1488.1506753883134,85,NA,NA,NA
2018_02_PHI_TB,1,7,10,8,6,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_SEA_CHI,1,8,8,-1,-3,1491.8493246116866,1491.8493246116866,65,NA,NA,NA
2018_03_NYJ_CLE,1,4,4,-3,-8,1480,1499.8973909875078,45.10260901249217,NA,NA,NA
2018_03_BUF_MIN,1,7,7,0,-11,1520,1479.8973909875078,105.10260901249217,NA,NA,NA
2018_03_CHI_ARI,1,7,6,-34,7,1480.6495730664326,1500,45.649573066432595,NA,NA,NA
2018_03_CIN_CAR,1,7,10,-7,11,1499.5432275147825,1519.8973909875078,44.645836527274696,NA,NA,NA
2018_03_DAL_SEA,1,6,7,-7,7,1483.6986492233732,1499.8973909875078,48.80125823586536,NA,NA,NA
2018_03_DEN_BAL,1,10,7,-11,1,1500.1026090124922,1515.7518482074229,49.350760805069285,NA,NA,NA
2018_03_GB_WAS,1,7,7,-12,0,1499.3504269335674,1496.3013507766268,68.0490761569406,NA,NA,NA
2018_03_IND_PHI,1,7,7,-6,12,1500.1026090124922,1500.6495730664326,64.45303594605957,NA,NA,NA
2018_03_LAC_LA,1,7,7,34,11,1519.3504269335674,1500.1026090124922,84.24781792107524,NA,NA,NA
2018_03_NE_DET,1,7,7,-3,-11,1480.1026090124922,1500.1026090124922,45,NA,NA,NA
2018_03_NO_ATL,1,7,7,7,3,1500.4567724852175,1496.3013507766268,69.15542170859067,NA,NA,NA
2018_03_NYG_HOU,1,7,7,-3,-7,1483.6986492233732,1480.1026090124922,68.59604021088103,NA,NA,NA
2018_03_OAK_MIA,1,7,7,8,-1,1520.1026090124922,1480.549502569204,104.55310644328824,NA,NA,NA
2018_03_SF_KC,1,7,7,5,3,1523.6986492233732,1499.8973909875078,88.80125823586536,NA,NA,NA
2018_03_TEN_JAX,1,7,7,11,3,1519.8973909875078,1500,84.89739098750783,NA,NA,NA
2018_03_PIT_TB,1,8,8,6,-5,1519.8973909875078,1500,84.89739098750783,NA,NA,NA
2018_04_MIN_LA,1,4,4,12,-21,1526.9720140681152,1507.0639241873307,84.90808988078447,NA,NA,NA
2018_04_BAL_PIT,1,6,7,3,13,1512.396043604276,1508.6916564110593,68.70438719321669,NA,NA,NA
2018_04_BUF_GB,1,7,7,-14,21,1488.235293974847,1492.8334668001771,60.40182717466996,NA,NA,NA
2018_04_CIN_ATL,1,7,7,-6,-10,1488.4921960491968,1511.1753749447068,42.31682110448992,NA,NA,NA
2018_04_CLE_OAK,1,7,10,-8,4,1473.471119145151,1488.709085975718,49.76203316943315,NA,NA,NA
2018_04_DET_DAL,1,7,7,-11,16,1491.2928390486586,1488.8145992076838,67.47823984097477,NA,NA,NA
2018_04_HOU_IND,1,7,7,-4,-5,1492.4836887789556,1471.7495565646675,85.73413221428814,NA,NA,NA
2018_04_MIA_NE,1,7,7,-16,8,1491.3906188173005,1527.180992436545,29.20962638075548,NA,NA,NA
2018_04_NO_NYG,1,7,7,5,6,1492.0517016711979,1508.2659272126475,48.78577445855035,NA,NA,NA
2018_04_NYJ_JAX,1,7,10,-3,-4,1507.5013473832319,1491.18830501179,81.31304237144195,NA,NA,NA
2018_04_PHI_TEN,1,7,7,3,4,1512.396043604276,1508.2684932999691,69.12755030430685,NA,NA,NA
