game_id,season,week,home_win,prob_book,prob_model,book_id,residual,direction,off_flag_003,off_flag_005,off_flag_007,delta_prob,delta_logit,abs_edge
2018_01_ATL_PHI,2018,1,1,0.5379008746355685,0.4851668179035187,market_proxy,0.46209912536443154,1,1,1,1,-0.05273405673204978,-0.21124501385591218,0.05273405673204978
2018_01_BUF_BAL,2018,1,1,0.5379008746355685,0.7018980979919434,market_proxy,0.46209912536443154,1,1,1,1,0.1639972233563749,0.7044579826703044,0.1639972233563749
2018_01_PIT_CLE,2018,1,0,0.5379008746355685,0.4823387563228607,market_proxy,-0.5379008746355685,-1,1,1,1,-0.05556211831270774,-0.22256924761561647,0.05556211831270774
2018_01_CIN_IND,2018,1,0,0.5379008746355685,0.4851668179035187,market_proxy,-0.5379008746355685,-1,1,1,1,-0.05273405673204978,-0.21124501385591218,0.05273405673204978
2018_01_TEN_MIA,2018,1,1,0.5379008746355685,0.4851668179035187,market_proxy,0.46209912536443154,1,1,1,1,-0.05273405673204978,-0.21124501385591218,0.05273405673204978
2018_01_SF_MIN,2018,1,1,0.5379008746355685,0.6413273811340332,market_proxy,0.46209912536443154,1,1,1,1,0.10342650649846474,0.42923514410806035,0.10342650649846474
2018_01_HOU_NE,2018,1,1,0.5379008746355685,0.6279751062393188,market_proxy,0.46209912536443154,1,1,1,1,0.09007423160375039,0.3716448850272714,0.09007423160375039
2018_01_TB_NO,2018,1,0,0.5379008746355685,0.7662715911865234,market_proxy,-0.5379008746355685,-1,1,1,1,0.22837071655095498,1.0354819992312345,0.22837071655095498
2018_01_JAX_NYG,2018,1,0,0.5379008746355685,0.46470311284065247,market_proxy,-0.5379008746355685,-1,1,1,1,-0.073197761794916,-0.2933176577416039,0.073197761794916
2018_01_KC_LAC,2018,1,0,0.5379008746355685,0.5025457143783569,market_proxy,-0.5379008746355685,-1,1,1,1,-0.035355160257211526,-0.1417119246595771,0.035355160257211526
2018_01_WAS_ARI,2018,1,0,0.5379008746355685,0.5025457143783569,market_proxy,-0.5379008746355685,-1,1,1,1,-0.035355160257211526,-0.1417119246595771,0.035355160257211526
2018_01_DAL_CAR,2018,1,1,0.5379008746355685,0.5202217698097229,market_proxy,0.46209912536443154,1,1,1,1,-0.01767910482584556,-0.07096364580206424,0.01767910482584556
2018_01_SEA_DEN,2018,1,1,0.5379008746355685,0.5202217698097229,market_proxy,0.46209912536443154,1,1,1,1,-0.01767910482584556,-0.07096364580206424,0.01767910482584556
2018_01_CHI_GB,2018,1,1,0.5379008746355685,0.6413273811340332,market_proxy,0.46209912536443154,1,1,1,1,0.10342650649846474,0.42923514410806035,0.10342650649846474
2018_01_NYJ_DET,2018,1,0,0.5379008746355685,0.6870038509368896,market_proxy,-0.5379008746355685,-1,1,1,1,0.1491029763013212,0.6342541403311042,0.1491029763013212
2018_01_LA_OAK,2018,1,0,0.5379008746355685,0.27770116925239563,market_proxy,-0.5379008746355685,-1,1,1,1,-0.26019970538317283,-1.1077882116367623,0.26019970538317283
2018_02_BAL_CIN,2018,2,1,0.5379008746355685,0.4763273298740387,market_proxy,0.46209912536443154,1,1,1,1,-0.061573544761529764,-0.24665639826236718,0.061573544761529764
2018_02_CAR_ATL,2018,2,1,0.5379008746355685,0.5558038949966431,market_proxy,0.46209912536443154,1,1,1,1,0.017903020361074606,0.07225451217435344,0.017903020361074606
2018_02_LAC_BUF,2018,2,0,0.5379008746355685,0.327428936958313,market_proxy,-0.5379008746355685,-1,1,1,1,-0.21047193767725547,-0.8717316008635045,0.21047193767725547
2018_02_MIN_GB,2018,2,0,0.5379008746355685,0.419003427028656,market_proxy,-0.5379008746355685,-1,1,1,1,-0.11889744760691245,-0.47876062954279863,0.11889744760691245
2018_02_CLE_NO,2018,2,1,0.5379008746355685,0.7502608895301819,market_proxy,0.46209912536443154,1,1,1,1,0.21236001489461342,0.9481093137316625,0.21236001489461342
2018_02_MIA_NYJ,2018,2,0,0.5379008746355685,0.4885891079902649,market_proxy,-0.5379008746355685,-1,1,1,1,-0.04931176664530357,-0.19754636491749045,0.04931176664530357
2018_02_KC_PIT,2018,2,0,0.5379008746355685,0.564445436000824,market_proxy,-0.5379008746355685,-1,1,1,1,0.026544561365255515,0.10732877085269854,0.026544561365255515
2018_02_PHI_TB,2018,2,1,0.5379008746355685,0.5061088800430298,market_proxy,0.46209912536443154,1,1,1,1,-0.031791994592538675,-0.1274581340223622,0.031791994592538675
2018_02_HOU_TEN,2018,2,1,0.5379008746355685,0.448927640914917,market_proxy,0.46209912536443154,1,1,1,1,-0.08897323372065147,-0.356899275233724,0.08897323372065147
2018_02_IND_WAS,2018,2,0,0.5379008746355685,0.6561989188194275,market_proxy,-0.5379008746355685,-1,1,1,1,0.11829804418385903,0.49450586498465604,0.11829804418385903
2018_02_ARI_LA,2018,2,1,0.5379008746355685,0.7972456812858582,market_proxy,0.46209912536443154,1,1,1,1,0.2593448066502897,1.2172730252436479,0.2593448066502897
2018_02_DET_SF,2018,2,1,0.5379008746355685,0.6481145024299622,market_proxy,0.46209912536443154,1,1,1,1,0.1102136277943937,0.45886668017470705,0.1102136277943937
2018_02_OAK_DEN,2018,2,1,0.5379008746355685,0.642780065536499,market_proxy,0.46209912536443154,1,1,1,1,0.10487919090093056,0.4355560962834191,0.10487919090093056
2018_02_NE_JAX,2018,2,1,0.5379008746355685,0.49931252002716064,market_proxy,0.46209912536443154,1,1,1,1,-0.038588354608407816,-0.15464479178752713,0.038588354608407816
