season,n,mean_edge,sd_edge,pct_off_003,pct_off_005,pct_off_007,mean_abs_edge,mean_loss_delta
2022,3,-0.0386958615193677,0.0606317246937398,66.66666666666666,66.66666666666666,33.33333333333333,0.05805874189436144,0.03805652327303399
2023,285,-0.002614661831543789,0.1543952841648126,78.94736842105263,67.36842105263158,54.03508771929825,0.11663619111147776,0.04256651555708087
2024,285,-0.015107580381466265,0.1606234083940848,82.80701754385966,71.9298245614035,62.4561403508772,0.1269919832760913,0.07729792126296768
