game_id,season,week,spread_close,total_close,home,season_f,rest_home,rest_home_capped,first_game_home,rest_away,rest_away_capped,first_game_away,prev_margin_home,prev_margin_away,elo_home,elo_away,elo_diff,wind_mph,temp_f,precip_mm
2018_01_ATL_PHI,2018,1,1,44.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_BUF_BAL,2018,1,7.5,39,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_CHI_GB,2018,1,6.5,45,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_CIN_IND,2018,1,-1,47.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_DAL_CAR,2018,1,2.5,42.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_HOU_NE,2018,1,6,49.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_JAX_NYG,2018,1,-2.5,43,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_KC_LAC,2018,1,3.5,48,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_PIT_CLE,2018,1,-3.5,41,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_SEA_DEN,2018,1,3,42.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_SF_MIN,2018,1,6,46.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_TB_NO,2018,1,10,50,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_TEN_MIA,2018,1,-1,43.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_WAS_ARI,2018,1,2,43.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_LA_OAK,2018,1,-6,47.5,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_01_NYJ_DET,2018,1,7,44,1,2018,7,7,0,7,7,0,NA,NA,1500,1500,65,NA,NA,NA
2018_02_BAL_CIN,2018,2,1,43,1,2018,4,4,0,4,4,0,11,44,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_ARI_LA,2018,2,13.5,43.5,1,2018,6,6,0,7,7,0,20,-18,1511.8493246116866,1488.1506753883134,88.6986492233732,NA,NA,NA
2018_02_CAR_ATL,2018,2,5.5,44,1,2018,10,10,0,7,7,0,-6,8,1491.8493246116866,1508.1506753883134,48.698649223373195,NA,NA,NA
2018_02_CLE_NO,2018,2,10,51,1,2018,7,7,0,7,7,0,-8,0,1488.1506753883134,1488.1506753883134,65,NA,NA,NA
2018_02_DET_SF,2018,2,6,48.5,1,2018,7,7,0,6,6,0,-8,-31,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_HOU_TEN,2018,2,-3.5,41,1,2018,7,7,0,7,7,0,-7,-7,1491.8493246116866,1491.8493246116866,65,NA,NA,NA
2018_02_IND_WAS,2018,2,6,48,1,2018,7,7,0,7,7,0,18,-11,1511.8493246116866,1488.1506753883134,88.6986492233732,NA,NA,NA
2018_02_KC_PIT,2018,2,4.5,52,1,2018,7,7,0,7,7,0,0,10,1511.8493246116866,1511.8493246116866,65,NA,NA,NA
2018_02_LAC_BUF,2018,2,-7.5,41.5,1,2018,7,7,0,7,7,0,-44,-10,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_MIA_NYJ,2018,2,3,43,1,2018,6,6,0,7,7,0,31,7,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_MIN_GB,2018,2,-2,45,1,2018,7,7,0,7,7,0,1,8,1508.1506753883134,1508.1506753883134,65,NA,NA,NA
2018_02_NE_JAX,2018,2,-2,44.5,1,2018,7,7,0,7,7,0,5,7,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_NYG_DAL,2018,2,3,42,1,2018,7,7,0,7,7,0,-8,-5,1491.8493246116866,1488.1506753883134,68.6986492233732,NA,NA,NA
2018_02_OAK_DEN,2018,2,5.5,44.5,1,2018,7,7,0,6,6,0,3,-20,1508.1506753883134,1488.1506753883134,85,NA,NA,NA
2018_02_PHI_TB,2018,2,-3,46.5,1,2018,7,7,0,10,10,0,8,6,1511.8493246116866,1508.1506753883134,68.6986492233732,NA,NA,NA
2018_02_SEA_CHI,2018,2,5,42.5,1,2018,8,8,0,8,8,0,-1,-3,1491.8493246116866,1491.8493246116866,65,NA,NA,NA
2018_03_NYJ_CLE,2018,3,3,41,1,2018,4,4,0,4,4,0,-3,-8,1480,1499.8973909875078,45.10260901249217,NA,NA,NA
2018_03_BUF_MIN,2018,3,16.5,41,1,2018,7,7,0,7,7,0,0,-11,1520,1479.8973909875078,105.10260901249217,NA,NA,NA
2018_03_CHI_ARI,2018,3,-6,39,1,2018,7,7,0,6,6,0,-34,7,1480.6495730664326,1500,45.649573066432595,NA,NA,NA
2018_03_CIN_CAR,2018,3,2.5,44,1,2018,7,7,0,10,10,0,-7,11,1499.5432275147825,1519.8973909875078,44.645836527274696,NA,NA,NA
2018_03_DAL_SEA,2018,3,1,40,1,2018,6,6,0,7,7,0,-7,7,1483.6986492233732,1499.8973909875078,48.80125823586536,NA,NA,NA
2018_03_DEN_BAL,2018,3,5.5,46,1,2018,10,10,0,7,7,0,-11,1,1500.1026090124922,1515.7518482074229,49.350760805069285,NA,NA,NA
2018_03_GB_WAS,2018,3,-2.5,46.5,1,2018,7,7,0,7,7,0,-12,0,1499.3504269335674,1496.3013507766268,68.0490761569406,NA,NA,NA
2018_03_IND_PHI,2018,3,6.5,45.5,1,2018,7,7,0,7,7,0,-6,12,1500.1026090124922,1500.6495730664326,64.45303594605957,NA,NA,NA
2018_03_LAC_LA,2018,3,7.5,49,1,2018,7,7,0,7,7,0,34,11,1519.3504269335674,1500.1026090124922,84.24781792107524,NA,NA,NA
2018_03_NE_DET,2018,3,-7,55.5,1,2018,7,7,0,7,7,0,-3,-11,1480.1026090124922,1500.1026090124922,45,NA,NA,NA
2018_03_NO_ATL,2018,3,1.5,54,1,2018,7,7,0,7,7,0,7,3,1500.4567724852175,1496.3013507766268,69.15542170859067,NA,NA,NA
2018_03_NYG_HOU,2018,3,6.5,44,1,2018,7,7,0,7,7,0,-3,-7,1483.6986492233732,1480.1026090124922,68.59604021088103,NA,NA,NA
2018_03_OAK_MIA,2018,3,3,46,1,2018,7,7,0,7,7,0,8,-1,1520.1026090124922,1480.549502569204,104.55310644328824,NA,NA,NA
2018_03_SF_KC,2018,3,6,53,1,2018,7,7,0,7,7,0,5,3,1523.6986492233732,1499.8973909875078,88.80125823586536,NA,NA,NA
2018_03_TEN_JAX,2018,3,10,39,1,2018,7,7,0,7,7,0,11,3,1519.8973909875078,1500,84.89739098750783,NA,NA,NA
2018_03_PIT_TB,2018,3,1,55,1,2018,8,8,0,8,8,0,6,-5,1519.8973909875078,1500,84.89739098750783,NA,NA,NA
2018_04_MIN_LA,2018,4,7.5,48.5,1,2018,4,4,0,4,4,0,12,-21,1526.9720140681152,1507.0639241873307,84.90808988078447,NA,NA,NA
2018_04_BAL_PIT,2018,4,3,51,1,2018,6,6,0,7,7,0,3,13,1512.396043604276,1508.6916564110593,68.70438719321669,NA,NA,NA
2018_04_BUF_GB,2018,4,8.5,44,1,2018,7,7,0,7,7,0,-14,21,1488.235293974847,1492.8334668001771,60.40182717466996,NA,NA,NA
2018_04_CIN_ATL,2018,4,3.5,52,1,2018,7,7,0,7,7,0,-6,-10,1488.4921960491968,1511.1753749447068,42.31682110448992,NA,NA,NA
