game_id,season,week,home_win,prob_book,p_model_oof,book_id,edge,side,off_flag_003,off_flag_005,off_flag_007,abs_edge,loss_book,loss_model,loss_delta
2022_21_SF_PHI,2022,21,1,0.5379008746355685,0.48065343499183655,market_proxy,-0.05724743964373191,-1,1,1,0,0.05724743964373191,0.6200809836853581,0.7326087779404826,-0.11252779425512449
2022_21_CIN_KC,2022,21,1,0.5379008746355685,0.5669451951980591,market_proxy,0.029044320562490622,1,0,0,0,0.029044320562490622,0.6200809836853581,0.5674926374250361,0.05258834626032205
2022_22_KC_PHI,2022,22,0,0.5379008746355685,0.45001640915870667,market_proxy,-0.0878844654768618,-1,1,1,1,0.0878844654768618,0.7719758538486045,0.5978668360347,0.17410901781390442
2023_01_DET_KC,2023,1,0,0.5379008746355685,0.530800461769104,market_proxy,-0.007100412866464456,-1,0,0,0,0.007100412866464456,0.7719758538486045,0.7567271463659268,0.015248707482677704
2023_01_CAR_ATL,2023,1,1,0.5379008746355685,0.5320923328399658,market_proxy,-0.00580854179560264,-1,0,0,0,0.00580854179560264,0.6200809836853581,0.6309382467300741,-0.010857263044716015
2023_01_HOU_BAL,2023,1,1,0.5379008746355685,0.82914137840271,market_proxy,0.2912405037671415,1,1,1,1,0.2912405037671415,0.6200809836853581,0.18736459749137685,0.4327163861939813
2023_01_CIN_CLE,2023,1,1,0.5379008746355685,0.4177486300468445,market_proxy,-0.12015224458872398,-1,1,1,1,0.12015224458872398,0.6200809836853581,0.8728753908732451,-0.2527944071878869
2023_01_JAX_IND,2023,1,0,0.5379008746355685,0.5353885889053345,market_proxy,-0.0025122857302339874,-1,0,0,0,0.0025122857302339874,0.7719758538486045,0.7665538978310775,0.00542195601752693
2023_01_TB_MIN,2023,1,0,0.5379008746355685,0.6128289699554443,market_proxy,0.07492809531987588,1,1,1,1,0.07492809531987588,0.7719758538486045,0.9488887454786081,-0.17691289163000368
2023_01_TEN_NO,2023,1,1,0.5379008746355685,0.5260597467422485,market_proxy,-0.011841127893319925,-1,0,0,0,0.011841127893319925,0.6200809836853581,0.642340485732488,-0.022259502047129898
2023_01_SF_PIT,2023,1,0,0.5379008746355685,0.5166714787483215,market_proxy,-0.021229395887246927,-1,0,0,0,0.021229395887246927,0.7719758538486045,0.7270586883161984,0.0449171655324061
2023_01_ARI_WAS,2023,1,1,0.5379008746355685,0.6535919904708862,market_proxy,0.11569111583531777,1,1,1,1,0.11569111583531777,0.6200809836853581,0.4252719899929389,0.19480899369241922
2023_01_GB_CHI,2023,1,0,0.5379008746355685,0.4573855698108673,market_proxy,-0.08051530482470115,-1,1,1,1,0.08051530482470115,0.7719758538486045,0.6113562845861776,0.16061956926242682
2023_01_LV_DEN,2023,1,0,0.5379008746355685,0.4804299175739288,market_proxy,-0.05747095706163968,-1,1,1,0,0.05747095706163968,0.7719758538486045,0.6547535739302273,0.11722227991837719
2023_01_MIA_LAC,2023,1,0,0.5379008746355685,0.5162639617919922,market_proxy,-0.021636912843576273,-1,0,0,0,0.021636912843576273,0.7719758538486045,0.7262158966401626,0.04575995720844184
2023_01_PHI_NE,2023,1,0,0.5379008746355685,0.45668482780456543,market_proxy,-0.08121604683100303,-1,1,1,1,0.08121604683100303,0.7719758538486045,0.6100656998152557,0.16191015403334874
2023_01_LA_SEA,2023,1,0,0.5379008746355685,0.5968625545501709,market_proxy,0.05896167991460244,1,1,1,0,0.05896167991460244,0.7719758538486045,0.9084777194749593,-0.1365018656263548
2023_01_DAL_NYG,2023,1,0,0.5379008746355685,0.41043540835380554,market_proxy,-0.12746546628176292,-1,1,1,1,0.12746546628176292,0.7719758538486045,0.5283709947845378,0.2436048590640667
2023_01_BUF_NYJ,2023,1,1,0.5379008746355685,0.5729565620422363,market_proxy,0.03505568740666787,1,1,0,0,0.03505568740666787,0.6200809836853581,0.556945373095178,0.06313561059018014
2023_02_MIN_PHI,2023,2,1,0.5379008746355685,0.6661528944969177,market_proxy,0.12825201986134926,1,1,1,1,0.12825201986134926,0.6200809836853581,0.406236063472517,0.21384492021284113
2023_02_GB_ATL,2023,2,1,0.5379008746355685,0.4790642857551574,market_proxy,-0.058836588880411045,-1,1,1,0,0.058836588880411045,0.6200809836853581,0.7359204823192307,-0.11583949863387255
2023_02_LV_BUF,2023,2,1,0.5379008746355685,0.7681593894958496,market_proxy,0.23025851486028115,1,1,1,1,0.23025851486028115,0.6200809836853581,0.26375802896152645,0.3563229547238317
2023_02_BAL_CIN,2023,2,0,0.5379008746355685,0.473920077085495,market_proxy,-0.06398079755007346,-1,1,1,0,0.06398079755007346,0.7719758538486045,0.6423021330824724,0.12967372076613204
2023_02_SEA_DET,2023,2,0,0.5379008746355685,0.5673121809959412,market_proxy,0.029411306360372702,1,0,0,0,0.029411306360372702,0.7719758538486045,0.837738783282148,-0.06576292943354356
2023_02_IND_HOU,2023,2,0,0.5379008746355685,0.4350505471229553,market_proxy,-0.10285032751261314,-1,1,1,1,0.10285032751261314,0.7719758538486045,0.5710190157722668,0.20095683807633768
2023_02_KC_JAX,2023,2,0,0.5379008746355685,0.5264484286308289,market_proxy,-0.011452446004739603,-1,0,0,0,0.011452446004739603,0.7719758538486045,0.7474944570404374,0.024481396808167077
2023_02_CHI_TB,2023,2,1,0.5379008746355685,0.5599888563156128,market_proxy,0.022087981680044333,1,0,0,0,0.022087981680044333,0.6200809836853581,0.5798383948873442,0.0402425887980139
