game_id,season,week,p_model_oof
2022_21_SF_PHI,2022,21,0.48065343499183655
2022_21_CIN_KC,2022,21,0.5669451951980591
2022_22_KC_PHI,2022,22,0.45001640915870667
2023_01_DET_KC,2023,1,0.530800461769104
2023_01_CAR_ATL,2023,1,0.5320923328399658
2023_01_HOU_BAL,2023,1,0.82914137840271
2023_01_CIN_CLE,2023,1,0.4177486300468445
2023_01_JAX_IND,2023,1,0.5353885889053345
2023_01_TB_MIN,2023,1,0.6128289699554443
2023_01_TEN_NO,2023,1,0.5260597467422485
2023_01_SF_PIT,2023,1,0.5166714787483215
2023_01_ARI_WAS,2023,1,0.6535919904708862
2023_01_GB_CHI,2023,1,0.4573855698108673
2023_01_LV_DEN,2023,1,0.48042991757392883
2023_01_MIA_LAC,2023,1,0.5162639617919922
2023_01_PHI_NE,2023,1,0.45668482780456543
2023_01_LA_SEA,2023,1,0.5968625545501709
2023_01_DAL_NYG,2023,1,0.41043540835380554
2023_01_BUF_NYJ,2023,1,0.5729565620422363
2023_02_MIN_PHI,2023,2,0.6661528944969177
2023_02_GB_ATL,2023,2,0.47906428575515747
2023_02_LV_BUF,2023,2,0.7681593894958496
2023_02_BAL_CIN,2023,2,0.473920077085495
2023_02_SEA_DET,2023,2,0.5673121809959412
2023_02_IND_HOU,2023,2,0.4350505471229553
2023_02_KC_JAX,2023,2,0.5264484286308289
2023_02_CHI_TB,2023,2,0.5599888563156128
2023_02_LAC_TEN,2023,2,0.47473204135894775
2023_02_NYG_ARI,2023,2,0.311728298664093
2023_02_SF_LA,2023,2,0.2732306122779846
2023_02_NYJ_DAL,2023,2,0.688441812992096
2023_02_WAS_DEN,2023,2,0.5996031761169434
2023_02_MIA_NE,2023,2,0.45173078775405884
2023_02_NO_CAR,2023,2,0.4149967432022095
2023_02_CLE_PIT,2023,2,0.4356129467487335
2023_03_NYG_SF,2023,3,0.8038138747215271
2023_03_IND_BAL,2023,3,0.7518053650856018
2023_03_TEN_CLE,2023,3,0.48665350675582886
2023_03_ATL_DET,2023,3,0.4690030813217163
2023_03_NO_GB,2023,3,0.46855416893959045
2023_03_HOU_JAX,2023,3,0.7554801106452942
2023_03_DEN_MIA,2023,3,0.7046905159950256
2023_03_LAC_MIN,2023,3,0.46970677375793457
2023_03_NE_NYJ,2023,3,0.4149967432022095
2023_03_BUF_WAS,2023,3,0.2415192872285843
2023_03_CAR_SEA,2023,3,0.6223676204681396
2023_03_DAL_ARI,2023,3,0.21523825824260712
2023_03_CHI_KC,2023,3,0.8350483775138855
2023_03_PIT_LV,2023,3,0.4877552390098572
2023_03_PHI_TB,2023,3,0.3130553364753723
2023_03_LA_CIN,2023,3,0.49552565813064575
2023_04_DET_GB,2023,4,0.505113422870636
2023_04_ATL_JAX,2023,4,0.49838969111442566
2023_04_MIA_BUF,2023,4,0.43165352940559387
2023_04_MIN_CAR,2023,4,0.26472902297973633
2023_04_DEN_CHI,2023,4,0.4430493712425232
2023_04_BAL_CLE,2023,4,0.476846307516098
2023_04_PIT_HOU,2023,4,0.44095519185066223
2023_04_LA_IND,2023,4,0.48319536447525024
2023_04_TB_NO,2023,4,0.5928141474723816
2023_04_WAS_PHI,2023,4,0.8396886587142944
2023_04_CIN_TEN,2023,4,0.4613579213619232
2023_04_LV_LAC,2023,4,0.721807599067688
2023_04_NE_DAL,2023,4,0.6849824786186218
2023_04_ARI_SF,2023,4,0.7953925728797913
2023_04_KC_NYJ,2023,4,0.3671402037143707
2023_04_SEA_NYG,2023,4,0.36493217945098877
2023_05_CHI_WAS,2023,5,0.7069877982139587
2023_05_JAX_BUF,2023,5,0.5287290215492249
2023_05_HOU_ATL,2023,5,0.483601838350296
2023_05_CAR_DET,2023,5,0.8272183537483215
2023_05_TEN_IND,2023,5,0.4198615849018097
2023_05_NYG_MIA,2023,5,0.8543465733528137
2023_05_NO_NE,2023,5,0.5202217698097229
2023_05_BAL_PIT,2023,5,0.3109886646270752
2023_05_CIN_ARI,2023,5,0.4092327952384949
2023_05_PHI_LA,2023,5,0.4483359754085541
2023_05_NYJ_DEN,2023,5,0.5316469073295593
2023_05_KC_MIN,2023,5,0.43552911281585693
2023_05_DAL_SF,2023,5,0.4413868486881256
2023_05_GB_LV,2023,5,0.42921242117881775
2023_06_DEN_KC,2023,6,0.8350483775138855
2023_06_BAL_TEN,2023,6,0.2845189869403839
2023_06_WAS_ATL,2023,6,0.5071576833724976
2023_06_MIN_CHI,2023,6,0.3935255706310272
2023_06_SEA_CIN,2023,6,0.5402590036392212
2023_06_SF_CLE,2023,6,0.2509553134441376
2023_06_NO_HOU,2023,6,0.40448179841041565
2023_06_IND_JAX,2023,6,0.565383791923523
2023_06_CAR_MIA,2023,6,0.8396886587142944
2023_06_NE_LV,2023,6,0.5215159058570862
2023_06_ARI_LA,2023,6,0.7369073033332825
2023_06_PHI_NYJ,2023,6,0.2860712707042694
2023_06_DET_TB,2023,6,0.5045122504234314
2023_06_NYG_BUF,2023,6,0.8173400163650513
2023_06_DAL_LAC,2023,6,0.4891785681247711
2023_07_JAX_NO,2023,7,0.5181342363357544
2023_07_DET_BAL,2023,7,0.5652003884315491
2023_07_LV_CHI,2023,7,0.4149967432022095
2023_07_CLE_IND,2023,7,0.4613579213619232
2023_07_BUF_NE,2023,7,0.24731861054897308
2023_07_WAS_NYG,2023,7,0.4199114441871643
2023_07_ATL_TB,2023,7,0.5396876931190491
2023_07_PIT_LA,2023,7,0.47028231620788574
2023_07_ARI_SEA,2023,7,0.8465158343315125
