Feature,Gain,Cover,Frequency
spread_close,0.6803538603894004,0.46688204852002807,0.2857142857142857
elo_diff,0.14271568701083726,0.1926737298129434,0.22077922077922077
prev_margin_away,0.05426967176667206,0.1120103024939637,0.12987012987012986
total_close,0.04158850260634934,0.07560492331969709,0.12337662337662338
prev_margin_home,0.04098864914020559,0.0810773299317682,0.12337662337662338
week,0.026636657628944613,0.043575805632087516,0.06493506493506493
rest_away_capped,0.011502424107902023,0.02494843603564831,0.045454545454545456
rest_home_capped,0.001944547349688726,0.0032274242538637525,0.006493506493506494
