pred_bin,predicted_prob,observed_freq,count
2,0.19150515645742416,0.25,8
3,0.24899659305810928,0.28846153846153855,52
4,0.3423156787951787,0.20833333333333334,24
5,0.46060372748795675,0.4588235294117647,170
6,0.5374508078690547,0.605095541401274,157
7,0.6566632641872889,0.7605633802816902,71
8,0.7443140815286076,0.6470588235294118,51
9,0.8272328436374664,0.925,40
